,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Your intended major (continued):,,,,,,,,,,,,,
Biological & Life Sciences,,,,,,,,,,,,,
Biology (general),6.9,6.5,7.3,5.8,7.5,6.9,10.1,6.8,7.0,8.2,12.0,9.4,16.6
Animal Biology (zoology),0.6,0.7,0.6,0.6,0.9,1.1,0.4,0.9,0.7,0.2,0.5,0.5,0.4
Ecology & Evolutionary Biology,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.1
Marine Biology,0.5,0.6,0.3,0.7,0.6,0.6,0.2,0.9,0.4,0.2,0.1,0.1,0.1
Microbiology,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1
"Molecular, Cellular, & Developmental Biology",0.6,0.4,0.9,0.4,0.4,0.4,0.3,0.4,0.9,0.7,0.1,0.1,0.2
Neurobiology/Neuroscience,1.3,0.6,2.0,0.2,1.1,1.4,0.6,0.9,1.9,2.1,0.8,0.7,1.0
Plant Biology (botany),0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.3
Agriculture/Natural Resources,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.2,0.7,1.0,0.1
Biochemistry/Biophysics,1.7,1.2,2.2,1.0,1.5,1.5,1.4,1.6,2.4,1.7,0.4,0.1,0.8
Environmental Science,0.8,0.9,0.7,0.7,1.1,1.3,0.4,1.3,0.7,0.6,0.3,0.3,0.2
Other Biological Science,0.6,0.4,0.9,0.3,0.4,0.5,0.3,0.4,1.0,0.5,0.3,0.2,0.4
Business,,,,,,,,,,,,,
Accounting,2.2,2.5,1.9,2.4,2.7,2.2,3.9,2.6,1.8,2.3,2.4,2.6,2.1
Business Administration (general),3.1,3.0,3.1,2.7,3.4,2.8,2.9,4.3,3.0,3.7,3.6,3.7,3.4
Entrepreneurship,0.7,0.6,0.7,0.4,0.9,1.1,0.7,0.8,0.6,1.4,0.9,0.9,1.0
Finance,2.1,1.4,2.9,1.2,1.8,1.7,3.7,1.0,2.5,4.3,1.0,0.7,1.6
Hospitality/Tourism,0.2,0.3,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.0,0.3,0.3,0.2
Human Resources Management,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.0
International Business,0.9,0.8,0.9,0.6,1.2,1.3,1.7,0.8,0.7,1.8,0.3,0.3,0.4
Marketing,2.2,2.0,2.4,1.9,2.2,2.0,4.4,1.5,2.3,2.6,1.9,2.0,1.6
Management,1.9,2.4,1.4,2.3,2.5,2.2,3.2,2.4,1.4,1.6,3.1,3.3,2.6
Computer/Management Information Systems,0.3,0.3,0.2,0.4,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.2
Real Estate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
Other Business,0.7,0.6,0.8,0.4,1.0,1.1,0.8,1.0,0.7,1.0,0.3,0.3,0.2
Education,,,,,,,,,,,,,
Elementary Education,2.1,3.1,1.1,3.2,2.8,2.1,2.8,3.5,1.1,1.0,1.9,2.1,1.5
Music/Art Education,0.4,0.6,0.2,0.6,0.6,0.5,0.1,1.0,0.2,0.3,0.5,0.7,0.2
Physical Education/Recreation,0.4,0.6,0.2,0.6,0.7,0.3,0.3,1.2,0.2,0.1,1.5,2.1,0.3
Secondary Education,0.9,1.2,0.7,1.0,1.4,1.1,1.4,1.6,0.7,0.7,0.8,0.9,0.4
Special Education,0.8,1.0,0.5,1.1,0.8,0.8,0.8,0.9,0.5,0.5,0.3,0.4,0.2
Other Education,0.4,0.6,0.2,0.7,0.3,0.2,0.3,0.4,0.2,0.2,0.7,0.8,0.4
Engineering,,,,,,,,,,,,,
Aerospace/Aeronautical/Astronautical Engineering,0.8,0.8,0.9,1.3,0.2,0.2,0.4,0.1,1.0,0.4,0.2,0.2,0.3
Biological/Agricultural Engineering,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2
Biomedical Engineering,1.3,0.4,2.3,0.4,0.3,0.4,0.4,0.2,2.4,1.6,0.3,0.1,0.8
Chemical Engineering,1.2,0.4,2.0,0.5,0.3,0.3,0.5,0.2,2.0,1.8,0.6,0.4,0.9
Civil Engineering,1.0,1.1,1.0,1.4,0.7,0.6,1.1,0.6,1.0,0.8,1.0,1.2,0.6
Computer Engineering,1.3,1.0,1.6,1.4,0.5,0.5,0.5,0.5,1.8,0.9,1.0,0.7,1.7
Electrical/Electronic Communications Engineering,1.1,0.9,1.4,1.2,0.4,0.4,0.5,0.3,1.5,1.0,1.5,1.9,0.6
Engineering Science/Engineering Physics,0.2,0.1,0.3,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.1,0.5
Environmental/Environmental Health Engineering,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.1,0.5,0.2,0.2,0.1,0.2
Industrial/Manufacturing Engineering,0.5,0.3,0.8,0.4,0.2,0.3,0.2,0.1,0.9,0.3,0.6,0.9,0.2
Materials Engineering,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1
Mechanical Engineering,3.0,2.2,3.8,2.9,1.3,1.4,1.6,0.9,4.1,2.5,2.2,2.8,1.0
Other Engineering,0.6,0.6,0.7,0.8,0.4,0.4,0.3,0.4,0.7,0.5,0.4,0.5,0.3
