ACE,Institution,City,State,Stratification Cell,Included in National Norms
2410,Rhode Island College,Providence,RI,7,yes
2413,Rhode Island School of Design,Providence,RI,14,yes
8430,Ringling College of Art and Design,Sarasota,FL,15,no
685,Rockford University,Rockford,IL,12,yes
2309,Rosemont College,Rosemont,PA,16,yes
1672,Rutgers University-Camden,Camden,NJ,9,no
1668,Rutgers University-New Brunswick,New Brunswick,NJ,3,no
1673,Rutgers University-Newark,Newark,NJ,1,no
5082,Sacred Heart University,Fairfield,CT,18,no
976,Saint Catharine College,Saint Catharine,KY,19,yes
2313,Saint Francis University,Loretto,PA,17,yes
1843,Saint Joseph’s College-New York,Brooklyn,NY,12,yes
781,Saint Mary’s College,Notre Dame,IN,18,yes
1354,Saint Mary’s University of Minnesota,Winona,MN,4,yes
2974,Saint Norbert College,De Pere,WI,18,yes
137,San Francisco Art Institute,San Francisco,CA,12,no
248,San Francisco Conservatory of Music,San Francisco,CA,13,yes
535,Savannah State University,Savannah,GA,34,no
693,School of the Art Institute of Chicago,Chicago,IL,13,no
7449,School of Visual Arts,New York,NY,12,no
246,Scripps College,Claremont,CA,14,yes
2858,Seattle University,Seattle,WA,18,no
1676,Seton Hall University,South Orange,NJ,4,yes
2317,Seton Hill University,Greensburg,PA,17,yes
2564,Sewanee-The University of the South,Sewanee,TN,23,yes
1188,Simmons College,Boston,MA,13,yes
5052,Simpson University,Redding,CA,22,yes
1849,Skidmore College,Saratoga Springs,NY,14,no
170,Sonoma State University,Rohnert Park,CA,8,yes
1499,Southeast Missouri State University,Cape Girardeau,MO,9,no
2553,Southern Adventist University,Collegedale,TN,21,no
700,Southern Illinois University Edwardsville,Edwardsville,IL,2,yes
2657,Southern Methodist University,Dallas,TX,5,no
5415,Southern New Hampshire University,Manchester,NH,11,no
2664,Southwestern University,Georgetown,TX,23,yes
502,Spelman College,Atlanta,GA,35,yes
1191,Springfield College,Springfield,MA,12,yes
1329,St. Catherine University,Saint Paul,MN,18,yes
1846,St. Lawrence University,Canton,NY,14,yes
1949,St. Andrews University,Laurinburg,NC,20,yes
1839,St. Francis College,Brooklyn Heights,NY,11,no
1842,St. John’s University-New York,Queens,NY,4,yes
2648,St. Mary’s University,San Antonio,TX,17,yes
5498,St. Thomas Aquinas College,Sparkill,NY,11,yes
25,Stillman College,Tuscaloosa,AL,38,no
1203,Stonehill College,Easton,MA,18,yes
1885,Stony Brook University,Stony Brook,NY,3,no
1204,Suffolk University,Boston,MA,12,yes
7028,SUNY at Purchase College,Purchase,NY,9,no
1878,SUNY College at Potsdam,Potsdam,NY,9,yes
4894,SUNY Institute of Technology at Utica-Rome,Utica,NY,9,yes
2335,Susquehanna University,Selinsgrove,PA,23,yes
2814,Sweet Briar College,Sweet Briar,VA,12,yes
